lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,release_timestamp,source_artifact_path,source_artifact_sha256,cpi_value,previous_cpi_value,cpi_change_pct,cpi_pressure,macro_regime,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
CPI_GOLD_2015-03-01,cpi_gold_v1,CPI,2015-03-01,2015-04-08,first_gold_session_on_or_after_release_timestamp,1203.099976,2015-04-08T08:30:00,C:\Users\THEBLU~1\AppData\Local\Temp\aurumai_release_971dobga\cpi.csv,4e20f30508bc1ef19b9b5c9127c4c0735c5359647fa6492e9d1de5ea9705cdc2,235.976,235.342,0.269395,inflation_pressure_up,CONTRACTION,1193.599976,-0.789627,DOWN,1201.5,-0.132988,DOWN,1190.300049,-1.063912,DOWN,20,"After CPI changed by 0.269395% on 2015-03-01, gold moved -1.063912% over 20 trading days (DOWN)."
CPI_GOLD_2015-04-01,cpi_gold_v1,CPI,2015-04-01,2015-05-13,first_gold_session_on_or_after_release_timestamp,1218.400024,2015-05-13T08:30:00,C:\Users\THEBLU~1\AppData\Local\Temp\aurumai_release_971dobga\cpi.csv,4e20f30508bc1ef19b9b5c9127c4c0735c5359647fa6492e9d1de5ea9705cdc2,236.222,235.976,0.104248,inflation_pressure_up,CONTRACTION,1225.400024,0.574524,UP,1208.900024,-0.779711,DOWN,1179.900024,-3.159882,DOWN,20,"After CPI changed by 0.104248% on 2015-04-01, gold moved -3.159882% over 20 trading days (DOWN)."
CPI_GOLD_2015-05-01,cpi_gold_v1,CPI,2015-05-01,2015-06-10,first_gold_session_on_or_after_release_timestamp,1186.099976,2015-06-10T08:30:00,C:\Users\THEBLU~1\AppData\Local\Temp\aurumai_release_971dobga\cpi.csv,4e20f30508bc1ef19b9b5c9127c4c0735c5359647fa6492e9d1de5ea9705cdc2,237.001,236.222,0.329775,inflation_pressure_up,CONTRACTION,1179.900024,-0.522717,DOWN,1176.400024,-0.817802,DOWN,1159.0,-2.284797,DOWN,20,"After CPI changed by 0.329775% on 2015-05-01, gold moved -2.284797% over 20 trading days (DOWN)."
CPI_GOLD_2015-06-01,cpi_gold_v1,CPI,2015-06-01,2015-07-08,first_gold_session_on_or_after_release_timestamp,1163.300049,2015-07-08T08:30:00,C:\Users\THEBLU~1\AppData\Local\Temp\aurumai_release_971dobga\cpi.csv,4e20f30508bc1ef19b9b5c9127c4c0735c5359647fa6492e9d1de5ea9705cdc2,237.657,237.001,0.276792,inflation_pressure_up,CONTRACTION,1159.0,-0.369642,DOWN,1147.199951,-1.384002,DOWN,1085.699951,-6.670686,DOWN,20,"After CPI changed by 0.276792% on 2015-06-01, gold moved -6.670686% over 20 trading days (DOWN)."
