start_date,end_date,event_type,meeting_type,is_two_day,has_press_conference,statement_time,year,month
2024-11-06,2024-11-07,FOMC,scheduled,1,1,2:00 p.m.,2024,2024-11
2024-12-17,2024-12-18,FOMC,scheduled,1,1,2:00 p.m.,2024,2024-12
2025-01-29,2025-01-29,FOMC,scheduled,0,1,2:00 p.m.,2025,2025-01
2025-03-19,2025-03-19,FOMC,scheduled,0,1,2:00 p.m.,2025,2025-03
2025-05-07,2025-05-07,FOMC,scheduled,0,1,2:00 p.m.,2025,2025-05
2025-06-18,2025-06-18,FOMC,scheduled,0,1,2:00 p.m.,2025,2025-06
2025-07-30,2025-07-30,FOMC,scheduled,0,1,2:00 p.m.,2025,2025-07
2025-09-17,2025-09-17,FOMC,scheduled,0,1,2:00 p.m.,2025,2025-09
2025-10-29,2025-10-29,FOMC,scheduled,0,1,2:00 p.m.,2025,2025-10
2025-12-10,2025-12-10,FOMC,scheduled,0,1,2:00 p.m.,2025,2025-12
2026-01-28,2026-01-28,FOMC,scheduled,0,1,2:00 p.m.,2026,2026-01
2026-03-18,2026-03-18,FOMC,scheduled,0,1,2:00 p.m.,2026,2026-03
2026-04-29,2026-04-29,FOMC,scheduled,0,1,2:00 p.m.,2026,2026-04
2026-06-17,2026-06-17,FOMC,scheduled,0,1,2:00 p.m.,2026,2026-06
2026-07-29,2026-07-29,FOMC,scheduled,0,1,2:00 p.m.,2026,2026-07
2026-09-16,2026-09-16,FOMC,scheduled,0,1,2:00 p.m.,2026,2026-09
2026-10-28,2026-10-28,FOMC,scheduled,0,1,2:00 p.m.,2026,2026-10
2026-12-09,2026-12-09,FOMC,scheduled,0,1,2:00 p.m.,2026,2026-12
