lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,release_timestamp,source_artifact_path,source_artifact_sha256,cpi_value,previous_cpi_value,cpi_change_pct,cpi_pressure,macro_regime,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text,us10y_value_at_event,us10y_value_lookback,us10y_change_bps,us10y_level,us10y_trend,dxy_value_at_event,dxy_value_lookback,dxy_change,dxy_level,dxy_trend,t5yie_value_at_event,t5yie_value_lookback,t5yie_change,t5yie_level,t5yie_trend
CPI_GOLD_2022-06-01,cpi_gold_v1,CPI,2022-06-01,2022-07-13,first_gold_session_on_or_after_release_timestamp,1734.199951,2022-07-13T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,294.957,291.298,1.256102,inflation_pressure_up,RECOVERY,1704.5,-1.712602,DOWN,1699.5,-2.00092,DOWN,1795.599976,3.540539,UP,20,"After CPI changed by 1.256102% on 2022-06-01, gold moved 3.540539% over 20 trading days (UP).",0.29,0.18,11.0,low_yield_regime,yields_rising,102.550003,103.739998,-1.189995,normal_dxy_regime,dxy_falling,2.96,3.21,-0.25,normal_breakeven_regime,breakeven_falling
CPI_GOLD_2022-07-01,cpi_gold_v1,CPI,2022-07-01,2022-08-10,first_gold_session_on_or_after_release_timestamp,1795.599976,2022-08-10T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,294.913,294.957,-0.014917,inflation_pressure_down,RECOVERY,1789.699951,-0.328582,DOWN,1760.300049,-1.965913,DOWN,1708.0,-4.878591,DOWN,20,"After CPI changed by -0.014917% on 2022-07-01, gold moved -4.878591% over 20 trading days (DOWN).",0.54,0.29,25.0,low_yield_regime,yields_rising,105.139999,102.550003,2.589996,high_dxy_regime,dxy_rising,2.6,2.96,-0.36,normal_breakeven_regime,breakeven_falling
CPI_GOLD_2022-08-01,cpi_gold_v1,CPI,2022-08-01,2022-09-14,first_gold_session_on_or_after_release_timestamp,1696.5,2022-09-14T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,295.097,294.913,0.062391,inflation_pressure_up,RECOVERY,1665.400024,-1.833185,DOWN,1664.599976,-1.880343,DOWN,1670.300049,-1.544353,DOWN,5,"After CPI changed by 0.062391% on 2022-08-01, gold moved -1.880343% over 5 trading days (DOWN).",0.09,0.54,-45.0,low_yield_regime,yields_falling,105.449997,105.139999,0.309998,high_dxy_regime,dxy_flat,2.72,2.6,0.12,normal_breakeven_regime,breakeven_rising
CPI_GOLD_2022-09-01,cpi_gold_v1,CPI,2022-09-01,2022-10-12,first_gold_session_on_or_after_release_timestamp,1670.300049,2022-10-12T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,296.349,295.097,0.424267,inflation_pressure_up,RECOVERY,1670.0,-0.017964,FLAT,1627.5,-2.562417,DOWN,1710.099976,2.382801,UP,5,"After CPI changed by 0.424267% on 2022-09-01, gold moved -2.562417% over 5 trading days (DOWN).",0.81,0.27,54.0,low_yield_regime,yields_rising,109.690002,106.239998,3.450005,high_dxy_regime,dxy_rising,2.52,2.69,-0.17,normal_breakeven_regime,breakeven_falling
CPI_GOLD_2022-10-01,cpi_gold_v1,CPI,2022-10-01,2022-11-09,first_gold_session_on_or_after_release_timestamp,1710.099976,2022-11-09T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,298.007,296.349,0.559475,inflation_pressure_up,RECOVERY,1750.300049,2.350744,UP,1773.0,3.678149,UP,1788.699951,4.596221,UP,20,"After CPI changed by 0.559475% on 2022-10-01, gold moved 4.596221% over 20 trading days (UP).",1.68,0.81,87.0,low_yield_regime,yields_rising,112.120003,109.690002,2.43,high_dxy_regime,dxy_rising,2.14,2.52,-0.38,normal_breakeven_regime,breakeven_falling
CPI_GOLD_2022-11-01,cpi_gold_v1,CPI,2022-11-01,2022-12-14,first_gold_session_on_or_after_release_timestamp,1807.5,2022-12-14T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,298.786,298.007,0.261403,inflation_pressure_up,EXPANSION,1777.199951,-1.676351,DOWN,1815.900024,0.464732,UP,1918.400024,6.135548,UP,20,"After CPI changed by 0.261403% on 2022-11-01, gold moved 6.135548% over 20 trading days (UP).",1.56,1.68,-12.0,low_yield_regime,yields_falling,111.480003,112.120003,-0.639999,high_dxy_regime,dxy_flat,2.65,2.14,0.51,normal_breakeven_regime,breakeven_rising
CPI_GOLD_2022-12-01,cpi_gold_v1,CPI,2022-12-01,2023-01-11,first_gold_session_on_or_after_release_timestamp,1874.599976,2023-01-11T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,298.832,298.786,0.015396,inflation_pressure_up,EXPANSION,1895.5,1.114906,UP,1922.099976,2.533874,UP,1866.199951,-0.448097,DOWN,5,"After CPI changed by 0.015396% on 2022-12-01, gold moved 2.533874% over 5 trading days (UP).",1.17,1.56,-39.0,low_yield_regime,yields_falling,104.730003,111.480003,-6.75,normal_dxy_regime,dxy_falling,2.45,2.65,-0.2,normal_breakeven_regime,breakeven_falling
CPI_GOLD_2023-01-01,cpi_gold_v1,CPI,2023-01-01,2023-02-08,first_gold_session_on_or_after_release_timestamp,1877.400024,2023-02-08T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,300.42,298.832,0.531402,inflation_pressure_up,EXPANSION,1866.199951,-0.596574,DOWN,1834.199951,-2.301059,DOWN,1829.300049,-2.562053,DOWN,20,"After CPI changed by 0.531402% on 2023-01-01, gold moved -2.562053% over 20 trading days (DOWN).",1.58,1.08,50.0,low_yield_regime,yields_rising,103.519997,104.550003,-1.030006,normal_dxy_regime,dxy_falling,2.33,2.51,-0.18,normal_breakeven_regime,breakeven_falling
CPI_GOLD_2023-02-01,cpi_gold_v1,CPI,2023-02-01,2023-03-08,first_gold_session_on_or_after_release_timestamp,1812.699951,2023-03-08T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,301.45,300.42,0.342853,inflation_pressure_up,EXPANSION,1829.300049,0.915766,UP,1926.599976,6.283446,UP,2020.900024,11.485634,UP,20,"After CPI changed by 0.342853% on 2023-02-01, gold moved 11.485634% over 20 trading days (UP).",1.14,1.58,-44.0,low_yield_regime,yields_falling,101.220001,103.519997,-2.299995,normal_dxy_regime,dxy_falling,2.29,2.33,-0.04,normal_breakeven_regime,breakeven_flat
CPI_GOLD_2023-03-01,cpi_gold_v1,CPI,2023-03-01,2023-04-12,first_gold_session_on_or_after_release_timestamp,2010.900024,2023-04-12T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,301.821,301.45,0.123072,inflation_pressure_up,EXPANSION,2041.300049,1.511762,UP,1995.199951,-0.780749,DOWN,2030.5,0.974687,UP,1,"After CPI changed by 0.123072% on 2023-03-01, gold moved 1.511762% over 1 trading days (UP).",1.57,1.26,31.0,low_yield_regime,yields_rising,104.480003,102.279999,2.200005,normal_dxy_regime,dxy_rising,2.59,2.3,0.29,normal_breakeven_regime,breakeven_rising
