lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,release_timestamp,cpi_value,previous_cpi_value,cpi_change_pct,cpi_pressure,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
CPI_GOLD_2018-12-01,cpi_gold_v1,CPI,2018-12-01,2019-01-09,first_gold_session_on_or_after_release_timestamp,1289.300049,2019-01-09T08:30:00,252.767,252.594,0.068489,inflation_pressure_up,1284.699951,-0.35679,DOWN,1291.599976,0.178386,UP,1309.400024,1.558984,UP,20,"After CPI changed by 0.068489% on 2018-12-01, gold moved 1.558984% over 20 trading days (UP)."
CPI_GOLD_2019-01-01,cpi_gold_v1,CPI,2019-01-01,2019-02-13,first_gold_session_on_or_after_release_timestamp,1310.800049,2019-02-13T08:30:00,252.561,252.767,-0.081498,inflation_pressure_down,1309.800049,-0.076289,FLAT,1323.5,0.96887,UP,1293.400024,-1.327435,DOWN,20,"After CPI changed by -0.081498% on 2019-01-01, gold moved -1.327435% over 20 trading days (DOWN)."
CPI_GOLD_2019-02-01,cpi_gold_v1,CPI,2019-02-01,2019-03-13,first_gold_session_on_or_after_release_timestamp,1307.5,2019-03-13T08:30:00,253.319,252.561,0.300126,inflation_pressure_up,1293.400024,-1.078392,DOWN,1300.5,-0.535373,DOWN,1309.099976,0.122369,UP,1,"After CPI changed by 0.300126% on 2019-02-01, gold moved -1.078392% over 1 trading days (DOWN)."
CPI_GOLD_2019-03-01,cpi_gold_v1,CPI,2019-03-01,2019-04-10,first_gold_session_on_or_after_release_timestamp,1309.099976,2019-04-10T08:30:00,254.277,253.319,0.378179,inflation_pressure_up,1288.599976,-1.565961,DOWN,1272.199951,-2.818732,DOWN,1283.5,-1.95554,DOWN,5,"After CPI changed by 0.378179% on 2019-03-01, gold moved -2.818732% over 5 trading days (DOWN)."
CPI_GOLD_2019-04-01,cpi_gold_v1,CPI,2019-04-01,2019-05-08,first_gold_session_on_or_after_release_timestamp,1279.400024,2019-05-08T08:30:00,255.233,254.277,0.375968,inflation_pressure_up,1283.5,0.320461,UP,1296.300049,1.320934,UP,1337.599976,4.549003,UP,20,"After CPI changed by 0.375968% on 2019-04-01, gold moved 4.549003% over 20 trading days (UP)."
CPI_GOLD_2019-05-01,cpi_gold_v1,CPI,2019-05-01,2019-06-12,first_gold_session_on_or_after_release_timestamp,1331.900024,2019-06-12T08:30:00,255.296,255.233,0.024683,inflation_pressure_up,1339.199951,0.548084,UP,1344.599976,0.953521,UP,1404.300049,5.435845,UP,20,"After CPI changed by 0.024683% on 2019-05-01, gold moved 5.435845% over 20 trading days (UP)."
CPI_GOLD_2019-06-01,cpi_gold_v1,CPI,2019-06-01,2019-07-10,first_gold_session_on_or_after_release_timestamp,1410.099976,2019-07-10T08:30:00,255.213,255.296,-0.032511,inflation_pressure_down,1404.300049,-0.411313,DOWN,1421.300049,0.794275,UP,1507.300049,6.893133,UP,20,"After CPI changed by -0.032511% on 2019-06-01, gold moved 6.893133% over 20 trading days (UP)."
CPI_GOLD_2019-07-01,cpi_gold_v1,CPI,2019-07-01,2019-08-14,first_gold_session_on_or_after_release_timestamp,1515.900024,2019-08-14T08:30:00,255.802,255.213,0.230788,inflation_pressure_up,1519.599976,0.244076,UP,1504.599976,-0.745435,DOWN,1498.699951,-1.134644,DOWN,20,"After CPI changed by 0.230788% on 2019-07-01, gold moved -1.134644% over 20 trading days (DOWN)."
CPI_GOLD_2019-08-01,cpi_gold_v1,CPI,2019-08-01,2019-09-11,first_gold_session_on_or_after_release_timestamp,1494.400024,2019-09-11T08:30:00,256.036,255.802,0.091477,inflation_pressure_up,1498.699951,0.287736,UP,1507.5,0.876604,UP,1506.099976,0.78292,UP,5,"After CPI changed by 0.091477% on 2019-08-01, gold moved 0.876604% over 5 trading days (UP)."
CPI_GOLD_2019-09-01,cpi_gold_v1,CPI,2019-09-01,2019-10-09,first_gold_session_on_or_after_release_timestamp,1506.099976,2019-10-09T08:30:00,256.43,256.036,0.153885,inflation_pressure_up,1494.800049,-0.750277,DOWN,1488.0,-1.201778,DOWN,1490.199951,-1.055708,DOWN,5,"After CPI changed by 0.153885% on 2019-09-01, gold moved -1.201778% over 5 trading days (DOWN)."
CPI_GOLD_2019-10-01,cpi_gold_v1,CPI,2019-10-01,2019-11-13,first_gold_session_on_or_after_release_timestamp,1461.699951,2019-11-13T08:30:00,257.155,256.43,0.282728,inflation_pressure_up,1471.800049,0.690983,UP,1473.300049,0.793603,UP,1466.699951,0.342067,UP,5,"After CPI changed by 0.282728% on 2019-10-01, gold moved 0.793603% over 5 trading days (UP)."
CPI_GOLD_2019-11-01,cpi_gold_v1,CPI,2019-11-01,2019-12-11,first_gold_session_on_or_after_release_timestamp,1469.400024,2019-12-11T08:30:00,257.879,257.155,0.281542,inflation_pressure_up,1466.699951,-0.183753,DOWN,1472.599976,0.217773,UP,1557.5,5.995643,UP,20,"After CPI changed by 0.281542% on 2019-11-01, gold moved 5.995643% over 20 trading days (UP)."
CPI_GOLD_2019-12-01,cpi_gold_v1,CPI,2019-12-01,2020-01-08,first_gold_session_on_or_after_release_timestamp,1557.400024,2020-01-08T08:30:00,258.63,257.879,0.291222,inflation_pressure_up,1551.699951,-0.365999,DOWN,1552.099976,-0.340314,DOWN,1565.099976,0.494411,UP,20,"After CPI changed by 0.291222% on 2019-12-01, gold moved 0.494411% over 20 trading days (UP)."
CPI_GOLD_2020-01-01,cpi_gold_v1,CPI,2020-01-01,2020-02-12,first_gold_session_on_or_after_release_timestamp,1567.400024,2020-02-12T08:30:00,259.127,258.63,0.192166,inflation_pressure_up,1575.099976,0.491256,UP,1616.599976,3.138953,UP,1589.300049,1.39722,UP,5,"After CPI changed by 0.192166% on 2020-01-01, gold moved 3.138953% over 5 trading days (UP)."
CPI_GOLD_2020-02-01,cpi_gold_v1,CPI,2020-02-01,2020-03-11,first_gold_session_on_or_after_release_timestamp,1641.400024,2020-03-11T08:30:00,259.25,259.127,0.047467,inflation_pressure_up,1589.300049,-3.174118,DOWN,1477.300049,-9.997561,DOWN,1665.400024,1.462166,UP,5,"After CPI changed by 0.047467% on 2020-02-01, gold moved -9.997561% over 5 trading days (DOWN)."
CPI_GOLD_2020-03-01,cpi_gold_v1,CPI,2020-03-01,2020-04-08,first_gold_session_on_or_after_release_timestamp,1665.400024,2020-04-08T08:30:00,258.076,259.25,-0.452845,inflation_pressure_down,1736.199951,4.251226,UP,1720.400024,3.30251,UP,1721.800049,3.386575,UP,1,"After CPI changed by -0.452845% on 2020-03-01, gold moved 4.251226% over 1 trading days (UP)."
CPI_GOLD_2020-04-01,cpi_gold_v1,CPI,2020-04-01,2020-05-13,first_gold_session_on_or_after_release_timestamp,1713.900024,2020-05-13T08:30:00,256.032,258.076,-0.792015,inflation_pressure_down,1738.099976,1.411981,UP,1750.599976,2.141312,UP,1732.0,1.05607,UP,5,"After CPI changed by -0.792015% on 2020-04-01, gold moved 2.141312% over 5 trading days (UP)."
